Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
-,NISSAN,Note,2005,Sedan,No,Petrol,1.5,16302 km,3.0,Automatic,Front,4-5,Right-hand drive,White,4,Medium
779,SUBARU,Forester,2013,Jeep,Yes,Petrol,2.5,263459 km,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,Medium
1077,SUBARU,Crosstrek,2019,Sedan,Yes,Petrol,2,6384 km,4.0,Automatic,4x4,4-5,Left wheel,Blue,12,Medium
640,KIA,Optima,2013,Sedan,Yes,Petrol,2,52448 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
-,BMW,X5,2006,Jeep,Yes,Diesel,3.0 Turbo,235000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8,Very High
1268,TOYOTA,Aqua sport,2012,Hatchback,No,Hybrid,1.5,134000 km,4.0,Automatic,Front,4-5,Right-hand drive,Silver,6,Medium
753,HYUNDAI,Sonata hybrid,2012,Sedan,Yes,Hybrid,2.4,157000 km,4.0,Tiptronic,Front,4-5,Left wheel,Grey,10,Medium
1018,BMW,X5,2011,Jeep,Yes,Petrol,3,170043 km,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,Medium
333,FORD,C-MAX,2014,Sedan,Yes,Plug-in Hybrid,2,163000 km,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,High
-,MERCEDES-BENZ,C 320,2001,Universal,Yes,Petrol,3.2,210000 km,6.0,Tiptronic,Rear,4-5,Left wheel,Silver,8,Medium
-,MERCEDES-BENZ,CLK 200,2000,Coupe,Yes,Petrol,2.0 Turbo,0 km,6.0,Manual,Rear,2-3,Left wheel,Black,6,Medium
639,SSANGYONG,REXTON,2014,Jeep,Yes,Diesel,2,52576 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
642,KIA,Optima,2012,Sedan,Yes,Petrol,2,71172 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Medium
761,TOYOTA,Prius,2010,Sedan,Yes,Hybrid,1.8,421546 km,4.0,Automatic,Front,4-5,Left wheel,Silver,12,Low
966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,158642 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,High
-,FORD,Transit,1998,Microbus,No,Diesel,2.5 Turbo,111111 km,6.0,Manual,Rear,4-5,Left wheel,Blue,2,High
777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,105461 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
-,VAZ,2105,2008,Sedan,No,Petrol,1.6,83294 km,4.0,Manual,Rear,4-5,Left wheel,White,0,Low
917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802 km,6.0,Automatic,4x4,4-5,Left wheel,Black,0,Low
781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,281659 km,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,Medium
1024,HYUNDAI,H1,2010,Minivan,Yes,Diesel,2.5,54963 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,High
446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,27083 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
-,INFINITI,EX37,2012,Hatchback,Yes,Petrol,3.3,52000 km,6.0,Automatic,4x4,4-5,Left wheel,Black,2,Very High
1236,HONDA,FIT,2011,Hatchback,No,Hybrid,1.3,112000 km,4.0,Automatic,Front,4-5,Right-hand drive,Black,8,Medium
585,TOYOTA,Prius,2013,Sedan,Yes,Hybrid,1.8,114526 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
891,HYUNDAI,Sonata,2016,Sedan,Yes,Petrol,2,44608 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
2705,TOYOTA,Highlander,2005,Jeep,Yes,Petrol,3.3,244283 km,6.0,Automatic,Front,4-5,Left wheel,Black,12,Low
-,NISSAN,X-Terra,2005,Jeep,Yes,LPG,4,16000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Blue,4,Very High
650,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200 km,4.0,Tiptronic,Front,4-5,Left wheel,Black,8,Very High
1399,DODGE,Journey,2010,Jeep,Yes,Petrol,3.5,243477 km,6.0,Automatic,Front,4-5,Left wheel,Blue,12,Low
642,SSANGYONG,Korando,2012,Pickup,Yes,Diesel,2,201897 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
-,TOYOTA,Prius C,2014,Hatchback,No,Hybrid,1.5,80000 km,4.0,Automatic,Front,4-5,Left wheel,Grey,10,Very High
777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,151854 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
971,SSANGYONG,REXTON,2016,Jeep,Yes,Diesel,2.2,94638 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
431,FORD,Fusion,2016,Sedan,Yes,Hybrid,2,194974 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Medium
-,FIAT,500 turbo,2012,Hatchback,Yes,Petrol,1.4 Turbo,58000 km,4.0,Manual,Front,2-3,Left wheel,White,12,High
1586,KIA,Sorento,2007,Jeep,Yes,Diesel,2.5,72872 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Medium
891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,516176 km,4.0,Automatic,Front,4-5,Left wheel,Orange,4,Medium
765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,455579 km,4.0,Automatic,Front,4-5,Left wheel,Orange,4,Medium
-,CADILLAC,DTS,2008,Sedan,Yes,Petrol,4.6,161000 km,8.0,Automatic,Front,4-5,Left wheel,White,10,Very High
640,FORD,Fusion,2013,Sedan,Yes,Petrol,2,87579 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,High
790,DAEWOO,Lacetti,2009,Sedan,Yes,Petrol,1.6,117685 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
-,TOYOTA,Prius,2011,Sedan,No,Hybrid,1.8,100006 km,4.0,Automatic,Front,4-5,Left wheel,White,10,High
640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,216658 km,4.0,Automatic,Front,4-5,Left wheel,Red,0,Low
474,CHEVROLET,Cruze,2013,Hatchback,Yes,Petrol,1.4 Turbo,140000 km,4.0,Tiptronic,Front,4-5,Left wheel,Golden,12,High
308,TOYOTA,Prius,2014,Hatchback,No,Hybrid,1.8,155000 km,4.0,Tiptronic,Front,4-5,Left wheel,Grey,8,Very High
612,HYUNDAI,i20,2010,Sedan,No,Diesel,1.4 Turbo,193000 km,4.0,Manual,Front,>5,Left wheel,Blue,8,Medium
397,TOYOTA,Prius,2016,Sedan,Yes,Hybrid,1.8,80000 km,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,High
831,SSANGYONG,Actyon,2017,Jeep,Yes,Petrol,1.6,70087 km,4.0,Automatic,Front,4-5,Left wheel,Blue,4,Very High
-,BMW,X6,2013,Jeep,Yes,Petrol,3.0 Turbo,101000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Black,12,Very High
289,FORD,Escape,2008,Jeep,Yes,Hybrid,0.4,451117 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
642,HYUNDAI,Santa FE,2012,Jeep,Yes,Diesel,2,134052 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
-,MERCEDES-BENZ,S 430,2003,Sedan,Yes,Petrol,4.3,240000 km,8.0,Tiptronic,4x4,4-5,Left wheel,Carnelian red,10,High
-,HONDA,Civic,2008,Sedan,No,Hybrid,1.3,140000 km,4.0,Variator,Front,4-5,Left wheel,White,7,Medium
-,FIAT,Doblo,2001,Goods wagon,No,Diesel,1.9 Turbo,266000 km,4.0,Manual,Front,4-5,Left wheel,Carnelian red,2,Medium
-,SKODA,Octavia,2009,Hatchback,No,Petrol,1.6,21900 km,6.0,Manual,Front,4-5,Left wheel,Silver,4,Medium
585,TOYOTA,Prius,2013,Sedan,No,Petrol,1.8,149000 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Medium
353,TOYOTA,Prius,2015,Sedan,No,Hybrid,1.8,203101 km,4.0,Automatic,Front,4-5,Left wheel,White,12,High
-,FORD,Transit,1998,Microbus,No,Diesel,2.5,11111 km,4.0,Manual,Rear,4-5,Left wheel,White,2,Medium
765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,309174 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,High
289,FORD,Escape,2008,Jeep,Yes,Hybrid,0.4,451117 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
585,TOYOTA,Prius,2013,Sedan,Yes,Hybrid,1.8,180000 km,4.0,Tiptronic,Front,4-5,Left wheel,Silver,0,High
528,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.6,54734 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Very High
765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,119038 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
790,DAEWOO,Lacetti,2009,Sedan,Yes,Petrol,1.6,107125 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Medium
891,MERCEDES-BENZ,GLA 250,2016,Jeep,Yes,Petrol,2,109555 km,4.0,Automatic,Front,4-5,Left wheel,White,0,Medium
1481,BMW,X5,2017,Jeep,Yes,Diesel,3,98726 km,6.0,Automatic,4x4,4-5,Left wheel,White,12,Medium
1834,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,169000 km,6.0,Manual,Rear,4-5,Left wheel,White,2,High
-,MITSUBISHI,Outlander,2002,Jeep,No,CNG,2.4,240000 km,4.0,Tiptronic,Front,4-5,Left wheel,White,4,Medium
-,BMW,328,2011,Coupe,Yes,Petrol,3,220763 km,6.0,Tiptronic,4x4,2-3,Left wheel,Black,15,Very High
765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,31251 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
1172,TOYOTA,Sienna,2011,Minivan,Yes,Petrol,3.5,347667 km,6.0,Automatic,Front,4-5,Left wheel,Black,12,Low
1307,CHEVROLET,Camaro,2015,Sedan,Yes,Petrol,3.6,168621 km,6.0,Automatic,Rear,4-5,Left wheel,Carnelian red,12,Low
900,HYUNDAI,Sonata,2015,Sedan,Yes,Petrol,2.4,176688 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
765,LEXUS,NX 200,2015,Jeep,Yes,Petrol,2,109336 km,4.0,Automatic,4x4,4-5,Left wheel,Grey,12,Low
-,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,0 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
-,TOYOTA,Land Cruiser PRADO,2002,Jeep,No,Diesel,3.0 Turbo,2000 km,4.0,Manual,4x4,4-5,Left wheel,Silver,4,Very High
1438,OPEL,Combo,2003,Goods wagon,No,Diesel,1.7,152000 km,4.0,Manual,Front,4-5,Left wheel,Grey,2,Medium
831,SSANGYONG,Actyon,2017,Jeep,Yes,Diesel,1.6,64416 km,4.0,Automatic,Front,4-5,Left wheel,Blue,4,Very High
919,BMW,X3,2012,Jeep,Yes,Petrol,3.0 Turbo,160000 km,6.0,Tiptronic,4x4,4-5,Left wheel,White,12,Very High
-,BMW,X5,2001,Jeep,Yes,CNG,4.4,3000 km,8.0,Automatic,4x4,4-5,Left wheel,Black,16,Medium
-,MERCEDES-BENZ,Sprinter 313,2006,Microbus,No,Diesel,2.2 Turbo,210000 km,4.0,Manual,Rear,4-5,Left wheel,White,4,Very High
779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,190549 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Medium
1053,MERCEDES-BENZ,E 350,2014,Coupe,Yes,Petrol,3.5,103427 km,6.0,Automatic,Rear,2-3,Left wheel,Black,12,Low
862,TOYOTA,Camry,2011,Sedan,Yes,Petrol,2.5,153410 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
1079,HONDA,Civic,2018,Sedan,Yes,Petrol,2,26134 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
1018,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3,0 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
1017,HYUNDAI,Sonata,2017,Sedan,Yes,Petrol,2,78476 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
-,MERCEDES-BENZ,Sprinter,2008,Microbus,Yes,Diesel,2.2 Turbo,250000 km,4.0,Manual,Rear,>5,Left wheel,White,2,Very High
878,TOYOTA,Prius,2009,Hatchback,No,Hybrid,1.8,174000 km,4.0,Variator,Front,4-5,Left wheel,Blue,8,High
1111,MAZDA,CX-9,2013,Sedan,Yes,Petrol,3.7,55858 km,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,Low
1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566 km,4.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
-,TOYOTA,Prius,2007,Sedan,No,Hybrid,1.5,200000 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Medium
394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,102397 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
1195,MERCEDES-BENZ,Vito 111,2008,Goods wagon,No,Diesel,2.2 Turbo,197000 km,4.0,Manual,Rear,2-3,Left wheel,Blue,0,High
